¡Hola!
¿Donde viven?
abuelo
padre
hijo
hermano
tío
sobrino
primo
bisabuelo
yerno
cuñado
nieto
medio hermano
padrastro
ahijado
esposo / marido
nuera
¿adónde?
ir (a) ¹
invitar (a)
a
hoy
Poder ³
probar algo ³
gratis
el rocódromo
el taller
el slackline
la piscina
Costar ³
el euro
el centro cultural
la presentaciòn
el libro
el teatro
el cine
el museo
la visita guiada
por
siempre
hacer algo
la cosa
casi
a veces
tener que ²
por ejemplo
el chico /la chica
nunca
el deporte
el abrazo
para 
normalmente
el tiempo libre
el tiempo
libre
salir
escuchar algo / a alguien
la Música
viajar
usar algo
ver algo / a alguien
la televisión
el concierto
la Radio
el bar
el periódico
la revista
la exposición
jugar con / a algo
el videojuego
(a mí) me gusta
no me gusta nada
no … nada
¿te gusta + inf?
A mí también/tampoco
el fútbol
tampoco
¿Y a ti?
los domingos
tocar + instrumento
la guitarra
chatear
la Fiesta
el plan
Alemán
el Chat
¿que pasa?
os gusta/n
gustar
el rap
súper
hacer cola
la cola
la entrada
¡Mola!
¡Qué + sust.!
la sorpresa
contestar (algo)
estar nervioso/a
estar cansado/a
es que
no entiendo nada
entender algo / a alguien
tomar el pelo a alguien
pasar
el fin de semana
pasar por (casa de...)
estar feliz / estar felices
dar algo / a alguien
la Hora
mandar algo
el enlace
estar contento/a
unos días
unos/as
el minuto
estar enfermo/a
la ropa
la entrevista
la prenda
antes de
la pandilla
pasear por
la camisa
chulo/a
me encanta
este / esta
de manga corta
la manga
corto/a
el color
gustar
caro/a
preferir algo
blanco/a
azul
echar una mano
las prácticas
entrar (en)
a ver
¿Qué te parece?
parecer
"ese esa"
el pantalón
marroń
ahí
gris
elegante
barato
cómodo/a
¿cuánto + verb?
estar de oferta
la oferta
el zapato
de cuero
el cuero
práctico/a
de buena/mala calidad
ecológico
el cinturón
ir bien con
la chaqueta
la talla
llevar algo
¿Cuánto es?
¡De nada!
la cita
la boda
naranja
violeta
verde
amarillo/a
negro/a
rojo/a
la camiseta
"el jersey los jerseís"
los vaqueros
el vestido
el proyecto
el curso
la película de aventuras
el niño/ la niña
bajo/a
delgado/a
el pelo
largo/a
castaño
rubio/a
el ojo
la publicidad
que
la experiencia
la campaña
pelirrojo/a
liso
nadar
alto/a
las gafas
rizado/a
el/la modelo
describir algo
la estatura
claro/a
el tatuaje
el piercing
la nariz
el aspecto físico
la moda
el día a día
el día
¿Qué hora es?
Es la.. /Son las..
¿A qué hora..?
empezar algo (e → ie)
a la.. a las..
terminar algo
abrir algo
cerrar algo (e → ie)
la noche
el festival
de.. a../ del.. al..
enero
febrero
marzo
abril
mayo
junio
julio
agosto
septiembre
octubre
noviembre
diciembre
¿Qué dia..?
la mañana
el lunes
el martes
el miércoles
el jueves
el viernes
el sábado
el domingo
el fin de semana
el maratón
la feria
el.. de..
el cumpleaños (=el cumple)
el carnaval
las vacaciones
público/a
sobresaliente
la nota
como
la selectividad
el empollón/ la empollona
pensar en algo (e → ie)
la asignatura
favorito/a
"el profesor la profesora (=profe)"
"todos todas"
explicar algo
Ciencias
optativo/a
Biología
Química
Medicina
el secreto
sacar notas
importante
poner atención
poner algo
preguntar
todos los días
todos los / todas las
todo el / todo la
suficiente
la vez
por
la semana
jugar a algo
el voleibol
el consejo
los deberes
con tiempo
dormir (o → ue)
otro / otra
el dinero
el próximo/a
ir a +inf
el mundo
¡Qué pasada!
saber (+inf)
¡Mola mogollón!
venir (e → ie)
lo siento
¡Qué pena!
¡Anda!
quizás
cocinar algo
¡No me digas!
otra vez
por favor
¿Qué tal si..?
decidir algo
realmente
¡Qué palo!
tener ganas de +inf
el aeropuerto
hasta
levantarse
acostarse (o → ue)
ducharse
por la noche
la tarde
el/la mayor
ayudar a alguien
aunque
temprano
ponerse
el uniforme (escolar)
mientras
el desayuno
después de
desayunar
(ir) a pie
el autobús (el bus)
perder (e → ie)
apurarse
llegar tarde
llegar
tarde
cuando
llover (o → ue)
quedarse
aguantar algo
sin embargo
quejarse (de algo)
recoger algo
el campo
poquito
traer algo
antes de
si
¡Es muy chulo!
caminar
alquilar
la bicicleta
el problema
tener cuidado
la mochila
interesar
el arte
visitar algo
el/la .. más +adj
el cuadro
encontrar algo (e → ue)
la tapa
el tour 
(estar) rico, rica
famoso/a
el ambiente
alternativo
vale la pena
el estadio
la habitacíon
compartido/a 
el metro cuadrado
el metro 
el mes
los gastos
estar incluido/a
interior
la estancia
mínimo/a
estar amueblado/a
el piso compartido
el piso
exterior
el balcón
estar semiamueblado/a
el cama
el armario
hablar por teléfono
ajá
eso
conocer algo (c → zc)
más (central) que
central
dar al patio
el patio
luminoso/a
tan
tan (grande) como
el alquiler
el total
la calefacción
sin
encima
debajo
delante
detrás
entre el.. y el..
